,Unnamed: 0,question,personal
5255,1455.0,What is the most famous street in the world,0
1483,1208.0,What is the largest mammal on Earth ,0
4163,2596.0,"Who wrote ""The Great Gatsby"" ",0
2207,845.0,Can we ever justify any kind of torture ,1
2921,1725.0, What is the largest single living organism in the world,0
3275,1678.0, What is the deepest place in the ocean,0
637,1324.0,What chances are there of you getting into a romantic relationship with a person like me ,1
3490,2973.0, What is the longest river in Africa,0
5893,1548.0,What is the best way to deal with anxiety,1
6758,71110.0,How do you keep yourself motivated even when progress is slow,1
2573,2831.0, What is the oldest university in the world,0
3268,641.0,"In the nursery rhyme, who had a farm with a dog named BINGO ",0
4879,1110.0, How do you stay productive at work,1
1296,2542.0, What is the most famous skyscraper in the world,0
910,1593.0, What is the fastest car in the world,0
5679,2284.0,What is the best way to improve your decision-making skills,1
3469,3009.0,Do all planets orbit the Sun ,0
3342,1985.0,What is the primary source of oxygen on Earth ,0
3717,3395.0,How do I apply for a tourist visa ,0
544,2965.0,Do you like to watch the sunset ,1
4101,184.0,What is the main ingredient in the Vietnamese soup pho ,0
1749,214.0,How many soccer players should each team have on the field at the start of each match ,0
1876,2221.0,What’s your favorite type of water activity ,1
3625,1738.0,What’s the most exciting experience you’ve ever had ,1
2375,0.0,Oktoberfest in Germany is celebrated with what drink ,0
6521,47472.0,How do you stay grounded when life feels chaotic,1
953,2940.0,Are you into gaming ,1
6338,29189.0,What’s something you do to build and maintain confidence,1
4429,1799.0, What is the most famous bridge in the world,0
4401,3128.0,What is the population of Australia ,0
373,791.0,Do you think morals are fixed or are they flexible ,1
6436,38987.0,What’s one way you show love and appreciation for yourself,1
5990,1648.0,What is the most famous zoo in the United States,0
4423,2591.0,Who discovered America ,0
894,3294.0,What is the price of an adult movie ticket ,0
5728,2056.0,What is the largest forest in the world,0
5459,2098.0,What is the best way to improve your presentation skills,1
2671,2132.0, What is the most powerful known engine,0
461,1578.0, What is the biggest island in the Caribbean,0
4982,3091.0,Can you give me directions to the mall ,0
2794,2929.0,What is your favorite book ,1
453,2944.0,Do you like to cook ,1
3668,2177.0,What’s the best way to manage time effectively ,1
5372,1671.0,What is the best way to develop critical thinking skills,1
2557,1706.0,What’s your most cherished family tradition ,1
2485,3491.0,Where can I find a good art supply store ,0
5049,1812.0,"Who wrote ""Pride and Prejudice""",0
4439,1228.0,Cakes or cookies – what do you like more ,1
2623,2398.0,What is the name of the highest waterfall in the world ,0
2625,1892.0, What is the most famous museum in the world,0
4977,2414.0,What is the term for a group of ants ,0
5672,2154.0,What is the most famous zoo in the world,0
2628,643.0,What holiday is called “turkey day” ,0
4482,2141.0, What is the longest single stretch of highway in the world,0
2809,523.0,Which mammal has no vocal cords ,0
6672,62524.0,How do you stay motivated to keep improving yourself,1
291,788.0,In what year was the first episode of South Park aired ,0
6192,14543.0,What’s something you’ve done that you never thought you would,1
3511,598.0,What’s the scientific name of a wolf ,0
1928,1306.0,What is the best gift you have been given ,1
4702,2798.0,Who is the CEO of your company ,1
2508,999.0,What is your body’s largest organ ,0
6534,48785.0,What’s one thing you’ve done that made you feel empowered,1
5428,1711.0,What is the largest city in Africa,0
6363,31614.0,How do you deal with negative thoughts,1
3297,1616.0,What’s your favorite holiday and why ,1
2432,296.0,What is the perfect vacation that you have ever been to ,1
4864,1227.0,Can you share what your daily routine looks like  Do you think it is boring or exciting ,1
6306,25957.0,What’s one thing you’ve done that helped you grow as a person,1
3269,2243.0,What’s the best way to improve your public speaking ,1
2936,3135.0,How can I cancel an order ,0
5201,2086.0,What’s the tallest building in the world,0
3429,1911.0,What is the largest species of fish ,0
2577,3179.0,What are the opening hours of this mall ,0
5028,540.0,Which of the Seven Wonders is located in Egypt ,0
188,1715.0,What is the hottest planet in the solar system ,0
1329,3282.0,How do I get to the city museum ,0
1491,1136.0,The American designer born in 1939 as Ralph Lifshitz is better known as what ,0
2570,3244.0,How do I get a library card ,0
6289,24240.0,What’s something you wish you did more often,1
5868,1697.0,What is the most famous city in North America,0
3870,1608.0,How do you like to spend your free time ,1
2966,2084.0,What’s your favorite way to unwind after a long week ,1
399,1669.0, What is the most famous pyramid in the world,0
6275,22826.0,How do you define emotional well-being,1
3730,2111.0, What is the capital of Germany,0
353,2357.0,What’s the best way to stay healthy during the winter ,1
5911,1560.0,What is the most famous food in Mexico,0
5756,1713.0,What is the most famous zoo in the United States,0
3144,525.0,"If you had to introduce yourself using three words only, how would you do it ",1
4840,631.0,Which is better – McDonald’s or Burger King ,1
1847,1262.0,What is the primary focus of cognitive behavioral therapy (CBT) ,0
4783,2329.0,What’s your favorite season of the year ,1
1219,3184.0,What time does the pharmacy open ,0
2593,3637.0,What is your favorite childhood toy ,1
2069,2413.0,What’s the best way to learn about history ,1
4772,3503.0,How do I find a good coffee shop nearby ,0
4746,3374.0,Where can I find a place to rent a kayak ,0
1135,2793.0,Who is the most famous comedian in your opinion ,1
3591,2990.0,Do trees provide oxygen ,0
1302,1179.0,What famous music group was John Lennon a part of before pursuing a solo career ,0
1722,2355.0,What’s your favorite type of coffee drink ,1
1492,1103.0,"What is the title of the classic Greek epic attributed to Homer, telling the story of the Trojan War ",0
5823,1771.0,What is the largest stadium in the world,0
6292,24543.0,How do you manage your time between work and personal life,1
2304,433.0,What is the capital city of Mongolia ,0
6358,31109.0,What’s the best advice you’ve given to someone else,1
6268,22119.0,What’s your approach to finding balance in your life,1
5103,3287.0,What is the best way to learn from mistakes,1
3811,749.0,"If others could hear what you are thinking now, how big a problem would arise for you ",1
6119,7270.0,What’s something that’s helped you grow as a person,1
3507,1342.0,What is often seen as the smallest unit of memory ,0
3102,1777.0, What is the deepest part of the Red Sea,0
3784,1191.0,Who is the group of people sworn to make a decision/deliver a verdict in court ,0
979,2501.0,What is the name of the smallest ocean in the world ,0
2538,1854.0,What’s the best way to improve time management ,1
3284,2549.0,What is the name of the largest volcano in the world ,0
1679,3716.0,Have you ever been to a drive-in movie ,1
243,2056.0, How do you improve your decision-making skills,1
3117,3694.0,What was your first car ,1
1917,3535.0,Where can I find a nearby farmer’s market ,0
5231,2573.0,Who was the first person to reach the South Pole,0
6210,16361.0,What’s something that makes you feel proud of yourself,1
1894,547.0,Do you think you’ll achieve all your dreams ,1
644,472.0,Which companies are part of the Big Three ,0
5374,1937.0,What is the highest waterfall in North America,0
1367,197.0,What is your definition of beauty ,1
1567,143.0,What is the name of the fourth book in the Harry Potter series ,0
1441,1030.0,Did you have a mentor in your career ,1
4515,1766.0,What’s your favorite way to learn something new ,1
639,3033.0,Can you touch a cloud ,0
4009,682.0,What is the smallest continent on Earth ,0
1346,2101.0,What is the primary function of the digestive system ,0
4358,1597.0,What is the chemical formula for water ,0
5988,1693.0,What is the most famous mountain in North America,0
1848,1789.0, What is the most valuable metal,0
209,1530.0, What is the longest known living organism,0
5181,2306.0,How do you stay productive while working from home,1
3000,1261.0,What is the chemical symbol for the element mercury ,0
5959,1500.0,What is the most famous bakery in the world,0
806,1954.0, What is the largest rainforest in the world,0
6526,47977.0,What’s one thing you’ve done to stay emotionally strong,1
1484,1463.0, How do you improve your memory,1
2684,2669.0, What is the fastest land animal in North America,0
5757,1561.0,What is the most famous opera house in the world,0
1170,1756.0, What is the largest bird in the world,0
6640,59392.0,How do you deal with feelings of self-doubt,1
3600,657.0,Is there something new that you learned recently ,1
4655,3658.0,What is the most sentimental thing you own ,1
5441,2525.0,How do you deal with stress in high-pressure situations,1
4508,1428.0, What is the most famous statue in the world,0
6998,95150.0,What’s one thing you do to stay motivated during challenging projects,1
613,1706.0, What is the largest country in the Middle East,0
1474,382.0,Is there any habit in you that you earnestly want to leave ,1
5102,1158.0,What is the most popular social media platform,0
1369,3209.0,What are the best restaurants in the area ,0
1487,1996.0,What’s the best way to build healthy habits ,1
4002,1712.0,What’s a recent accomplishment you’re proud of ,1
6584,53736.0,How do you cultivate patience in moments of frustration,1
1676,2984.0, What is the largest desert in the world,0
1834,551.0,Have you ever had a surprise party  (that was an actual surprise),1
2848,1980.0,What’s your favorite way to explore a new city ,1
2927,2015.0,What is the name of the hottest planet in the solar system ,0
4946,1009.0,"If there are six apples and you take away four, how many do you have ",0
6707,66059.0,What’s one thing you do to improve your personal growth each day,1
225,2722.0,Who is the most influential person in your life ,1
5954,1467.0,What is the best way to learn to meditate,1
6056,907.0,What would your perfect vacation be like,1
4829,2230.0,What is the longest mountain range in the world ,0
6383,33634.0,What’s something you do to maintain a healthy work-life balance,1
6469,42220.0,What’s something you’ve done to take better care of your mental health,1
3738,906.0,What one myth do you believe in ,1
6199,15250.0,What’s something that makes you feel understood,1
319,1836.0,How do you stay positive during tough times ,1
1816,1135.0,How often do you have arguments in your family  To whom do you argue most ,1
4385,1691.0,What is the chemical formula for salt ,0
3389,3121.0,How far is the museum from here ,0
4206,3094.0,How do I sign up for the class ,0
1422,571.0,"In Judaism, what is the central prayer expressing the oneness of God ",0
2554,2299.0, What is the most famous national park in Africa,0
4305,2417.0,What’s the best way to improve communication skills ,1
1151,340.0,List two pet peeves.,1
6222,17573.0,What’s something you’ve done to step outside your comfort zone,1
1663,775.0,What was the name of the ship that brought the Pilgrims to America in 1620 ,0
6964,91716.0,What’s one thing you do to stay inspired during creative blocks,1
2906,2149.0, What is the longest bridge in Asia,0
5289,1621.0,What’s the best way to develop a growth mindset,1
3,2976.0,Do you like adventure ,1
4107,3479.0,Where is the closest train station ,0
3676,943.0,Are you interested in politics ,1
5556,2057.0,How do you build resilience in challenging times,1
6972,92524.0,What’s one thing you do to keep yourself from burning out,1
3527,1539.0,What’s a unique tradition in your culture ,1
4160,554.0,Do you think you are younger than your age or older  Why so ,1
5139,3315.0,What’s your favorite form of exercise,1
835,938.0,Where do you see yourself professionally in the next 10 years ,1
2546,2179.0, What is the largest island in the Pacific Ocean,0
3248,898.0,What is the most interesting excuse you have ever used to avoid work ,1
2298,930.0,What is your worst drunk talk experience ,1
5247,2519.0,What is the best way to boost your self-esteem,1
4640,3226.0,What is the cost of a gym membership ,0
4356,269.0,Do you think everything is just a matter of natural coincidence or do we exist as a part of the bigger plan ,1
5614,2058.0,What is the most famous beach in Hawaii,0
1963,3180.0, How do you stay motivated for long-term goals,1
5543,1697.0,How do you stay motivated when learning something new,1
986,1398.0,What is the name of the largest ocean on Earth ,0
451,3684.0,What’s the best thing about your current job ,1
5942,1501.0,What is the best way to stay focused,1
4707,2638.0,Who was the first emperor of the Byzantine Empire ,0
1698,3599.0,Have you ever lived in another country ,1
4736,3381.0,How do I get to the city center from the airport ,0
2165,3303.0,What is the cost of a museum ticket ,0
1688,1555.0, What is the largest city in Asia,0
1888,410.0,What is the process of wearing away rocks by natural forces called ,0
4674,2927.0,Do you prefer morning or night ,1
5294,1322.0,What is the largest island in the world,0
4603,622.0,How does general science impact everyday life ,0
1186,245.0,Have you ever been too invested in something that you almost forgot everything else ,1
2204,2235.0, What is the largest planet in our solar system,0
1470,924.0,What is your favorite dessert ,1
5449,2113.0,How do you build strong relationships with others,1
1544,1656.0,What’s the best advice you’ve given someone ,1
5788,1806.0,What is the most famous landmark in Spain,0
6747,70099.0,What’s one thing you do to create a positive environment around you,1
6578,53130.0,How do you manage feelings of uncertainty about the future,1
1036,1504.0,What is your favorite type of cuisine ,1
2263,1517.0, How do you celebrate holidays,1
6019,1747.0,What is the best way to stay consistent with fitness,1
1684,1450.0, What is the largest island in the world,0
1389,3612.0,Do you have a favorite place to visit in your city ,1
3416,2449.0, What is the deepest part of the Atlantic Ocean,0
3491,3274.0,How do I get a parking permit ,0
6233,18684.0,How do you define success in your personal life,1
3944,3082.0,What is the area of this park ,0
6700,65352.0,How do you stay true to your values when under pressure,1
2472,3087.0,Where is the nearest post office ,0
3631,2392.0, What is the most famous temple in the world,0
2421,1791.0, What is the most populated city in the world,0
3364,2608.0,Who discovered the structure of DNA ,0
2979,2845.0, What is the largest lake in the world,0
5208,2531.0,How do you keep your energy up throughout the day,1
4091,2763.0, What is the largest planet in the solar system,0
2290,3003.0,Is a tiger a wild animal ,0
2912,1131.0,What is the best compliment you have ever received ,1
4028,1466.0,How do you usually spend your free time ,1
5047,1992.0,What’s the highest mountain in Africa,0
6696,64948.0,How do you keep your self-esteem intact when you face criticism,1
6763,71615.0,What’s one thing you do to build a strong support system around you,1
6001,1771.0,What is the best way to stay positive in difficult situations,1
4448,1572.0, What is the capital of Spain,0
4631,1726.0,What’s your favorite way to connect with friends ,1
2888,2129.0, What is the most expensive city to live in,0
6293,24644.0,What’s one thing you do to take care of your mental health,1
2916,2105.0,What is the term for a group of dolphins ,0
3772,68.0,"What is the holiest city in Sikhism, home to the Golden Temple ",0
2372,3700.0,Do you prefer manual or automatic cars ,1
4752,1440.0,If you could meet any fictional character who would it be and why ,1
3175,1495.0,Which country is famous for the Great Wall ,0
5123,1627.0,What’s your favorite type of music,1
5794,1794.0,What is the most famous landmark in Russia,0
5721,1377.0,What is the most famous statue in the United States,0
809,1088.0,How horrible would you be as a ghost ,1
2722,2807.0,Who is the most inspiring person in your life ,1
2396,2159.0,What’s the most adventurous activity you’ve tried ,1
561,15.0,What's the tallest building you've been to the top in ,1
6943,89695.0,How do you deal with setbacks in achieving your personal goals,1
1029,2569.0,Who was the first man on the moon ,0
2129,407.0,Do you watch cartoons ,1
1842,3051.0,Are apples generally sweet ,0
6607,56059.0,What’s one thing you’ve done to foster a positive mindset,1
4855,2098.0,What’s the best way to improve your physical fitness ,1
3728,1979.0,What is the primary function of red blood cells ,0
2021,3384.0,What time does the tourist office close ,0
3028,1521.0, What is the most famous football stadium in the world,0
2501,89.0,What is the unit of electric current ,0
1706,1451.0,Who is the current president of the United States ,0
1697,2209.0, What is the fastest-growing economy in the world,0
5126,2201.0,What is the highest waterfall in the world,0
5915,1594.0,What is the most famous painting in the world,0
72,2655.0,Who was the first woman to win an Oscar ,0
6815,76867.0,What’s one thing you do to stay inspired during challenging times,1
6497,45048.0,How do you prioritize self-care when life gets busy,1
5845,1892.0,What is the most famous museum in New York,0
1046,2409.0, What is the longest migration of any animal,0
397,1635.0, What is the largest country by land area,0
5649,1471.0,What is the best way to stay creative,1
6484,43735.0,What’s something you’ve done recently that challenged your comfort zone,1
5947,1814.0,What is the best way to maintain a healthy lifestyle,1
627,496.0,What is the last thing in your browser history that you deleted ,1
1622,1023.0,How many wives did King Henry VIII have ,0
5674,2327.0,What is the most famous mountain in the world,0
5431,2569.0,How do you stay on track with your goals,1
380,3240.0,How do I get a student discount ,0
931,2381.0,What’s the best way to stay connected with family ,1
3149,2653.0,"Who wrote ""The Brothers Karamazov"" ",0
6916,86968.0,What’s one thing you do to stay confident in your abilities,1
6736,68988.0,How do you stay motivated when things aren’t going according to plan,1
3198,2996.0,Is the sun a star ,0
2556,1034.0, What is the tallest building in the world,0
2317,2070.0,What’s your favorite way to spend a rainy day ,1
5024,2350.0, What is the most famous museum in the world,0
15,534.0,Who is often referred to as the “King of Pop” and is known for iconic hits like “Thriller” and “Billie Jean” ,0
4565,2210.0,What is the largest species of bear ,0
6336,28987.0,How do you stay motivated to pursue your goals despite setbacks,1
1222,201.0,"In the movie “Casablanca,” what famous line does Humphrey Bogart’s character Rick Blaine say to Ilsa Lund, played by Ingrid Bergman ",0
5792,1483.0,What is the best way to improve your productivity,1
408,132.0,What is the name of the largest moon of Jupiter ,0
2329,1569.0,Which desert is the driest place on Earth ,0
970,2905.0,Who is the most athletic person you know ,1
6886,83938.0,What’s one thing you do to let go of negative emotions,1
615,218.0,What is one interesting rumor that you got to hear about yourself  Interesting.,1
1233,252.0,What genre of music did Taylor Swift start in ,0
6300,25351.0,What’s your favorite way to spend quality time with your loved ones,1
3168,1371.0,To love someone or to be loved by someone – what is the better feeling ,1
5647,2153.0,What is the most famous bridge in the United States,0
5320,1301.0,What is the fastest-growing country in the world,0
2766,2734.0,Who is your favorite writer ,1
5370,1347.0,What is the most famous river in Africa,0
6649,60201.0,What’s one habit you’ve developed to improve your emotional health,1
2342,2508.0, What is the deepest part of the Red Sea,0
1398,1756.0,What’s your favorite way to make someone’s day better ,1
1677,2032.0,What’s the best way to improve your memory ,1
2225,3434.0,How do I buy tickets for a local concert ,0
1752,2934.0, What is the largest building in the world by volume,0
2903,3564.0,How many languages do you speak ,1
5313,1425.0,What is the most famous mountain range in the world,0
5935,1734.0,What is the most famous island in the world,0
5343,1970.0,How do you stay productive when working from home,1
808,2429.0, What is the largest forest in Africa,0
5914,1605.0,What is the best way to learn to cook,1
1095,1770.0, What is the fastest growing plant on Earth,0
1565,2662.0,"Who wrote ""The Grapes of Wrath"" ",0
5129,1468.0,What’s your favorite type of dessert,1
684,2691.0, What is the longest flight route in the world,0
407,1407.0,When did you seem crazier – when you are angry or when you are ecstatic ,1
3189,1943.0,What is the largest species of land mammal ,0
1690,2399.0,What’s your favorite type of travel destination ,1
6569,52221.0,What’s one thing you do to stay grounded during times of uncertainty,1
5749,1498.0,What is the most famous bridge in the world,0
5711,1442.0,What is the most famous lake in Africa,0
5940,1644.0,What is the most famous cathedral in the world,0
3781,638.0,What's the most daring thing you've ever done ,1
847,1022.0,"If you randomly meet the president on a street, what would you tell him ",1
2029,1788.0, What is the oldest active lighthouse in the world,0
5156,1661.0,What is the most powerful ocean current,0
6686,63938.0,How do you make sure you’re not overextending yourself in relationships,1
537,565.0,Is Java a type of OS ,0
2274,2959.0,Do you enjoy being with family ,1
182,2583.0, What is the longest railway in the world,0
5148,1764.0,"Who wrote ""The Odyssey""",0
2683,3561.0,What is your date of birth ,1
3362,457.0,What type of game is Axie Infinity ,0
4925,72.0,"What is the chemical symbol for mercury, a liquid metal at room temperature ",0
2565,1706.0, What is the deepest part of the Atlantic Ocean,0
100,1794.0, What is the most famous castle in Europe,0
1981,2969.0,How do you stay healthy ,1
5834,1623.0,What is the most famous movie franchise,0
2868,3419.0,Where is the nearest hotel with a swimming pool ,0
6027,1673.0,What is the best way to build strong relationships,1
1037,1698.0,What’s the most valuable lesson you’ve learned ,1
2844,1613.0, What is the largest ice shelf in the world,0
6062,1513.0,What’s a fear you’ve conquered,1
4271,2770.0, What is the longest tunnel in the world,0
428,233.0,"Which Italian fashion designer is famous for his colorful and bold prints, particularly in silk scarves ",0
4275,1484.0,What is the smallest prime number ,0
2954,1456.0,Do you enjoy traveling What’s your favorite destination so far ,1
5885,1641.0,What is the most popular sport in the United States,0
2422,2322.0, What is the most famous river in Africa,0
4192,328.0,Are you in love  Is it someone I know ,1
3316,3689.0,Did you enjoy going to school ,1
6580,53332.0,How do you stay optimistic when things aren’t going as planned,1
4119,2639.0,Who was the first to successfully fly an airplane ,0
2694,1481.0, What is the oldest living tree in the world,0
1636,3352.0,Where can I find a hotel near the beach ,0
1108,1134.0,What does “HTTP” stand for ,0
2555,1782.0,What’s your favorite way to celebrate with friends ,1
1776,2517.0,What is the largest island in the Caribbean ,0
3983,2107.0,What is the largest city in the United States ,0
3230,1278.0,"If you could name yourself once again, what would you name yourself ",1
2470,3702.0,Do you have any road trip essentials ,1
4159,3588.0,What is your dream job ,1
85,2503.0,What is the largest city in the world by land area ,0
6624,57776.0,How do you keep yourself grounded in your personal values,1
4525,3058.0,How much does this item cost ,0
5671,2007.0,What is the best way to make a good first impression,1
4307,2945.0,Do you enjoy going to the beach ,1
2010,392.0,Which country is famous for its chocolate and is home to brands like Lindt and Toblerone ,0
5465,1629.0,How do you build your self-esteem,1
40,3476.0,How do I find a reliable car service ,0
1193,2716.0,Who is the most intelligent person you know ,1
5039,2739.0,How do you stay positive during tough times,1
5464,1884.0,What is the most famous landmark in New York,0
4169,1468.0,Do you prefer working in teams or independently ,1
6224,17775.0,What’s something you’ve always dreamed of doing,1
4980,508.0,Do you ever think about bringing a change in the world around you  How do you take this idea ,1
3630,61.0,"What is the chemical symbol for helium, a gas known for its use in balloons and airships ",0
6859,81211.0,How do you build trust in relationships,1
2090,2033.0,What is the primary component of the sun ,0
6947,90099.0,How do you manage your time effectively when life gets busy,1
5155,1950.0,What’s the most significant scientific discovery,1
6102,5553.0,What’s the most fulfilling thing you do on a daily basis,1
658,3227.0,How do I set up an account for an online store ,0
141,2563.0,"Who directed the movie ""Inception"" ",0
1284,1453.0,What is the largest desert in the world ,0
2701,1400.0,What is the longest river in the world ,0
5744,2208.0,What is the most famous castle in the United States,0
4936,2536.0,What’s your favorite way to stay happy ,1
3054,3463.0,Where can I rent a bicycle for the day ,0
4270,520.0,How would you rate your communication skills on a scale of 1-10 ,1
2629,573.0,"Before becoming President, Barack Obama served as a U.S. Senator from which state ",0
5096,1265.0,What’s the most important aspect of a relationship,1
3151,1512.0, What is the most famous waterfall in the world,0
4908,2147.0, How do you stay focused during long meetings,1
2279,2244.0, What is the deepest part of the Earth’s crust,0
2789,3190.0,What is the best way to get to the museum ,0
1414,2457.0, How do you remain focused when things go wrong,1
3344,1720.0,What’s the best way to celebrate milestones ,1
4885,1071.0,Suppose you are a superhero. What superpowers are you most likely to have ,1
4325,1910.0,What’s the most inspiring quote you know ,1
747,2010.0,What’s your favorite type of art to view ,1
2104,2500.0, What is the deepest lake in Russia,0
4951,688.0,"The book “Da Vinci Code,” was written by whom ",0
474,2112.0,What’s the best way to spend a weekend getaway ,1
4234,1927.0, What is your favorite type of book,1
5472,1692.0,How do you develop resilience,1
727,3006.0,Do all animals give birth ,0
6835,78887.0,What’s one thing you do to manage stress when life feels chaotic,1
1726,1627.0, What is the largest urban park in the world,0
6333,28684.0,What’s one lesson you’ve learned from overcoming a fear,1
3018,1372.0,What is the last thing you have in your mind before sleeping these days ,1
1719,1130.0,Are you good at telling lies  How do we know if you are not lying now ,1
2479,1277.0,Who are you  Can you introduce yourself ,1
6895,84847.0,How do you handle moments of intense stress,1
4387,1258.0,"If you had to name one small thing in your life that you can not live without, what would it be ",1
1125,1869.0, What is the largest butterfly in the world,0
1378,750.0,Which gas do plants absorb from the atmosphere during photosynthesis ,0
3243,2731.0, What is the most famous university in the United States,0
3004,1816.0, How do you stay motivated to learn new things,1
3820,196.0,Have you ever done something that you consider sinful ,1
3296,352.0,"If you become the president today, what would be the first decision you will make ",1
5214,2283.0,What is the highest mountain in North America,0
4129,1750.0, What is the largest ocean on Earth,0
5919,1498.0,What is the most famous market in the world,0
5476,1736.0,What is the most famous skyscraper in the world,0
6281,23432.0,What’s your most cherished memory with family,1
6303,25654.0,How do you deal with negative emotions in a healthy way,1
3704,2492.0,What’s your favorite way to start a conversation ,1
3516,2189.0,What’s the best way to tackle procrastination ,1
4782,1224.0,What is the unit of measurement for force in the International System of Units (SI) ,0
4104,959.0,Did you ever ruin someone’s party or big day unintentionally  How ,1
5454,1364.0,What is the best way to stay happy,1
229,2709.0,Who is the most important figure in history ,1
3383,1247.0, What’s your favorite season of the year,1
5500,2270.0,What is the most famous hotel in the world,0
6664,61716.0,How do you make time for personal growth amidst your busy routine,1
1747,2854.0, What is the longest wall in the world,0
2386,1677.0,What is the main ingredient in chocolate ,0
2091,3056.0,What time does the store open ,0
3399,1967.0,What is the most abundant gas in Earth’s atmosphere ,0
682,1282.0,What is the primary function of the cerebellum ,0
5641,2488.0,What is the most famous food in Japan,0
5130,1298.0,What is the deepest lake in the world,0
5284,1917.0,What’s the best way to study for exams,1
36,3270.0,Where can I get an international calling card ,0
941,3057.0,Where is the nearest gas station ,0
1853,1774.0,What’s your favorite way to stay motivated ,1
1085,625.0,How similar are you to your family ,1
4652,3429.0,How do I apply for a city pass ,0
1241,730.0,What kind of person would you like to date  Do you have someone in your mind ,1
3505,972.0,Are you into any kind of social cause  What is it ,1
1140,3603.0,Do you like spending time outdoors ,1
908,2779.0,Who is the most thoughtful person you know ,1
1231,1643.0, What is the most famous archaeological site in Mexico,0
4653,1310.0,In which country was Buddha born ,0
5429,2353.0,What is the most famous amusement park in the world,0
3892,1645.0,Which country is famous for the Colosseum ,0
6948,90100.0,What’s one thing you do to create balance between work and life,1
2827,3101.0,Where is the nearest pharmacy ,0
6724,67776.0,How do you ensure you make time for your personal growth,1
3513,1811.0, What is the most famous mountain range in North America,0
260,2644.0,Who was the first female astronaut ,0
5303,1728.0,What is the oldest city in the world,0
1515,3295.0,How do I cancel a subscription service ,0
1294,2462.0, What is the most famous city in the world,0
4837,1514.0,Which element on the periodic table has the symbol O ,0
6960,91312.0,What’s one thing you do to deal with negative emotions,1
493,950.0,Suppose you have a disorder by which you can’t see the person you are considering dating. What other aspects would then decide your choice of dating them or not ,1
4988,2289.0,What’s the best way to build your confidence ,1
4874,2388.0,What is the term for a group of geese ,0
4787,1878.0,What’s the most exciting hobby you’ve tried ,1
1459,1562.0,What is the capital of Brazil ,0
1569,146.0,Which country is responsible for giving us pizza and pasta ,0
5136,2907.0,Who discovered penicillin,0
181,2906.0, What is the most dangerous animal in the ocean,0
3500,1355.0,"Suppose you get a magical crystal ball in which you can see your future for once. But the thing is, you can’t change it. Would you still look at it ",1
